experiment,model,year,region,pr
SSP5-8.5,ec_earth3_veg_lr,2018,Minsk,254.31173478322222
SSP5-8.5,ec_earth3_veg_lr,2018,Mogilev,253.60949073415304
SSP5-8.5,ec_earth3_veg_lr,2018,Vitebsk,274.08050413149914
SSP5-8.5,ec_earth3_veg_lr,2019,Brest,223.24193301485798
SSP5-8.5,ec_earth3_veg_lr,2019,Gomel,236.74680649007223
SSP5-8.5,ec_earth3_veg_lr,2019,Grodno,236.90348264252972
SSP5-8.5,ec_earth3_veg_lr,2019,Minsk,227.76765923051488
SSP5-8.5,ec_earth3_veg_lr,2019,Mogilev,255.83293236977812
SSP5-8.5,ec_earth3_veg_lr,2019,Vitebsk,255.77667256490534
SSP5-8.5,ec_earth3_veg_lr,2020,Brest,242.05936772192163
SSP5-8.5,ec_earth3_veg_lr,2020,Gomel,238.35407133798563
SSP5-8.5,ec_earth3_veg_lr,2020,Grodno,266.0140145068904
SSP5-8.5,ec_earth3_veg_lr,2020,Minsk,265.07893811433246
SSP5-8.5,ec_earth3_veg_lr,2020,Mogilev,264.9950895566149
SSP5-8.5,ec_earth3_veg_lr,2020,Vitebsk,278.13826085421186
SSP5-8.5,ec_earth3_veg_lr,2021,Brest,225.0303188967132
SSP5-8.5,ec_earth3_veg_lr,2021,Gomel,242.58539994751618
SSP5-8.5,ec_earth3_veg_lr,2021,Grodno,212.84503947257068
SSP5-8.5,ec_earth3_veg_lr,2021,Minsk,234.2724912737511
SSP5-8.5,ec_earth3_veg_lr,2021,Mogilev,238.75399296912252
SSP5-8.5,ec_earth3_veg_lr,2021,Vitebsk,234.50330369313934
SSP5-8.5,ec_earth3_veg_lr,2022,Brest,213.58150062158603
SSP5-8.5,ec_earth3_veg_lr,2022,Gomel,253.92195042380476
SSP5-8.5,ec_earth3_veg_lr,2022,Grodno,219.3599736867399
SSP5-8.5,ec_earth3_veg_lr,2022,Minsk,238.97147656606813
SSP5-8.5,ec_earth3_veg_lr,2022,Mogilev,271.12967312225027
SSP5-8.5,ec_earth3_veg_lr,2022,Vitebsk,251.3211433976684
SSP5-8.5,ec_earth3_veg_lr,2023,Brest,235.28911683525078
SSP5-8.5,ec_earth3_veg_lr,2023,Gomel,233.30180952816008
SSP5-8.5,ec_earth3_veg_lr,2023,Grodno,259.59453533647047
SSP5-8.5,ec_earth3_veg_lr,2023,Minsk,252.73056009102393
SSP5-8.5,ec_earth3_veg_lr,2023,Mogilev,268.3425871561916
SSP5-8.5,ec_earth3_veg_lr,2023,Vitebsk,261.73871632426545
SSP5-8.5,ec_earth3_veg_lr,2024,Brest,211.62716331621374
SSP5-8.5,ec_earth3_veg_lr,2024,Gomel,207.01837081025707
SSP5-8.5,ec_earth3_veg_lr,2024,Grodno,221.53157429139702
SSP5-8.5,ec_earth3_veg_lr,2024,Minsk,237.08579799277874
SSP5-8.5,ec_earth3_veg_lr,2024,Mogilev,219.45062073400211
SSP5-8.5,ec_earth3_veg_lr,2024,Vitebsk,257.10354956294844
SSP5-8.5,ec_earth3_veg_lr,2025,Brest,200.35717850247107
SSP5-8.5,ec_earth3_veg_lr,2025,Gomel,227.09602699039476
SSP5-8.5,ec_earth3_veg_lr,2025,Grodno,214.6637666539533
SSP5-8.5,ec_earth3_veg_lr,2025,Minsk,228.90256583219613
SSP5-8.5,ec_earth3_veg_lr,2025,Mogilev,259.3129524076065
SSP5-8.5,ec_earth3_veg_lr,2025,Vitebsk,269.44299557284046
SSP5-8.5,ec_earth3_veg_lr,2026,Brest,235.41312594676577
SSP5-8.5,ec_earth3_veg_lr,2026,Gomel,257.66081821857745
SSP5-8.5,ec_earth3_veg_lr,2026,Grodno,228.8227653544262
SSP5-8.5,ec_earth3_veg_lr,2026,Minsk,242.92088965551073
SSP5-8.5,ec_earth3_veg_lr,2026,Mogilev,265.06165352276247
SSP5-8.5,ec_earth3_veg_lr,2026,Vitebsk,258.2918736243922
SSP5-8.5,ec_earth3_veg_lr,2027,Brest,183.2144924186463
SSP5-8.5,ec_earth3_veg_lr,2027,Gomel,170.67781215582102
SSP5-8.5,ec_earth3_veg_lr,2027,Grodno,202.69654775603917
SSP5-8.5,ec_earth3_veg_lr,2027,Minsk,197.6249674359183
SSP5-8.5,ec_earth3_veg_lr,2027,Mogilev,194.4439015886008
SSP5-8.5,ec_earth3_veg_lr,2027,Vitebsk,221.44489637735478
SSP5-8.5,ec_earth3_veg_lr,2028,Brest,219.3163807335999
SSP5-8.5,ec_earth3_veg_lr,2028,Gomel,233.04404561381776
SSP5-8.5,ec_earth3_veg_lr,2028,Grodno,224.1121302916965
SSP5-8.5,ec_earth3_veg_lr,2028,Minsk,234.34043628556117
SSP5-8.5,ec_earth3_veg_lr,2028,Mogilev,249.1388827323511
SSP5-8.5,ec_earth3_veg_lr,2028,Vitebsk,245.4389627665605
SSP5-8.5,ec_earth3_veg_lr,2029,Brest,201.8461560347749
SSP5-8.5,ec_earth3_veg_lr,2029,Gomel,210.75916950425867
SSP5-8.5,ec_earth3_veg_lr,2029,Grodno,204.47519970170342
SSP5-8.5,ec_earth3_veg_lr,2029,Minsk,201.14315051130924
SSP5-8.5,ec_earth3_veg_lr,2029,Mogilev,223.11130332637313
SSP5-8.5,ec_earth3_veg_lr,2029,Vitebsk,212.43143362195391
SSP5-8.5,ec_earth3_veg_lr,2030,Brest,201.63173024640474
SSP5-8.5,ec_earth3_veg_lr,2030,Gomel,234.17742429556316
SSP5-8.5,ec_earth3_veg_lr,2030,Grodno,191.0390624911491
SSP5-8.5,ec_earth3_veg_lr,2030,Minsk,214.7062272345128
SSP5-8.5,ec_earth3_veg_lr,2030,Mogilev,255.3146357191454
SSP5-8.5,ec_earth3_veg_lr,2030,Vitebsk,227.42775775803764
SSP5-8.5,ec_earth3_veg_lr,2031,Brest,231.1179385741991
SSP5-8.5,ec_earth3_veg_lr,2031,Gomel,264.6785555529883
SSP5-8.5,ec_earth3_veg_lr,2031,Grodno,251.1897523629279
SSP5-8.5,ec_earth3_veg_lr,2031,Minsk,259.510910897224
SSP5-8.5,ec_earth3_veg_lr,2031,Mogilev,262.7964931975383
SSP5-8.5,ec_earth3_veg_lr,2031,Vitebsk,263.8521512127485
