year,region,e_winter
1984,Minsk,8.249
1984,Mogilev,7.070
1984,Vitebsk,9.189
1985,Brest,12.709
1985,Gomel,10.567
1985,Grodno,9.811
1985,Minsk,7.514
1985,Mogilev,6.548
1985,Vitebsk,9.774
1986,Brest,15.305
1986,Gomel,12.759
1986,Grodno,14.221
1986,Minsk,10.867
1986,Mogilev,10.030
1986,Vitebsk,14.121
1987,Brest,21.750
1987,Gomel,15.136
1987,Grodno,19.574
1987,Minsk,14.148
1987,Mogilev,11.142
1987,Vitebsk,12.164
1988,Brest,29.897
1988,Gomel,24.859
1988,Grodno,26.872
1988,Minsk,20.111
1988,Mogilev,17.593
1988,Vitebsk,19.505
1989,Brest,33.908
1989,Gomel,27.970
1989,Grodno,27.465
1989,Minsk,22.740
1989,Mogilev,19.216
1989,Vitebsk,19.774
1990,Brest,17.978
1990,Gomel,17.596
1990,Grodno,16.289
1990,Minsk,15.734
1990,Mogilev,15.652
1990,Vitebsk,18.154
1991,Brest,23.572
1991,Gomel,23.471
1991,Grodno,22.483
1991,Minsk,20.253
1991,Mogilev,22.170
1991,Vitebsk,22.449
1992,Brest,26.216
1992,Gomel,24.301
1992,Grodno,22.831
1992,Minsk,20.908
1992,Mogilev,22.151
1992,Vitebsk,23.175
1993,Brest,24.425
1993,Gomel,19.440
1993,Grodno,18.120
1993,Minsk,13.643
1993,Mogilev,15.514
1993,Vitebsk,13.581
1994,Brest,26.671
1994,Gomel,19.936
1994,Grodno,23.555
1994,Minsk,16.678
1994,Mogilev,15.671
1994,Vitebsk,17.578
1995,Brest,11.933
1995,Gomel,10.889
1995,Grodno,9.044
1995,Minsk,5.301
1995,Mogilev,9.425
1995,Vitebsk,10.514
1996,Brest,20.395
1996,Gomel,24.819
1996,Grodno,21.182
1996,Minsk,19.791
1996,Mogilev,23.188
1996,Vitebsk,22.416
1997,Brest,23.751
1997,Gomel,19.081
1997,Grodno,22.142
1997,Minsk,18.384
1997,Mogilev,16.863
1997,Vitebsk,17.841
1998,Brest,18.988
1998,Gomel,14.704
1998,Grodno,17.082
1998,Minsk,12.654
1998,Mogilev,12.804
1998,Vitebsk,14.492
1999,Brest,30.822
1999,Gomel,21.384
1999,Grodno,25.552
1999,Minsk,20.795
1999,Mogilev,19.350
1999,Vitebsk,22.720
2000,Brest,22.631
2000,Gomel,17.553
2000,Grodno,20.543
2000,Minsk,16.405
2000,Mogilev,15.805
2000,Vitebsk,16.641
2001,Brest,31.232
2001,Gomel,26.915
2001,Grodno,25.401
2001,Minsk,19.432
2001,Mogilev,20.365
2001,Vitebsk,20.058
2002,Brest,15.043
2002,Gomel,14.588
2002,Grodno,12.799
2002,Minsk,11.815
2002,Mogilev,12.361
