year,region,tp_Apr
2009,Gomel,10.729
2009,Grodno,12.613
2009,Minsk,11.795
2009,Mogilev,11.228
2009,Vitebsk,25.889
2010,Brest,42.588
2010,Gomel,34.565
2010,Grodno,51.297
2010,Minsk,40.050
2010,Mogilev,44.987
2010,Vitebsk,52.145
2011,Brest,35.752
2011,Gomel,34.159
2011,Grodno,35.235
2011,Minsk,27.489
2011,Mogilev,34.263
2011,Vitebsk,31.867
2012,Brest,71.454
2012,Gomel,95.244
2012,Grodno,68.574
2012,Minsk,89.483
2012,Mogilev,94.009
2012,Vitebsk,82.657
2013,Brest,38.432
2013,Gomel,41.175
2013,Grodno,43.781
2013,Minsk,35.288
2013,Mogilev,37.742
2013,Vitebsk,49.855
2014,Brest,37.467
2014,Gomel,25.241
2014,Grodno,35.530
2014,Minsk,41.789
2014,Mogilev,39.158
2014,Vitebsk,52.140
2015,Brest,45.242
2015,Gomel,35.255
2015,Grodno,55.133
2015,Minsk,54.374
2015,Mogilev,42.235
2015,Vitebsk,58.481
2016,Brest,71.002
2016,Gomel,55.064
2016,Grodno,72.157
2016,Minsk,61.294
2016,Mogilev,53.193
2016,Vitebsk,68.834
2017,Brest,80.081
2017,Gomel,58.597
2017,Grodno,80.209
2017,Minsk,81.856
2017,Mogilev,78.139
2017,Vitebsk,79.974
2018,Brest,40.310
2018,Gomel,21.794
2018,Grodno,49.487
2018,Minsk,40.438
2018,Mogilev,31.514
2018,Vitebsk,38.666
2019,Brest,27.040
2019,Gomel,20.542
2019,Grodno,15.409
2019,Minsk,7.063
2019,Mogilev,9.237
2019,Vitebsk,5.983
2020,Brest,20.970
2020,Gomel,14.850
2020,Grodno,19.802
2020,Minsk,26.823
2020,Mogilev,30.846
2020,Vitebsk,34.346
2021,Brest,52.889
2021,Gomel,58.795
2021,Grodno,52.262
2021,Minsk,57.592
2021,Mogilev,60.996
2021,Vitebsk,59.434
2022,Brest,87.798
2022,Gomel,119.422
2022,Grodno,84.116
2022,Minsk,110.696
2022,Mogilev,128.964
2022,Vitebsk,60.819
