year,region,tp_Sep
1990,Gomel,145.394
1990,Grodno,154.734
1990,Minsk,150.809
1990,Mogilev,113.919
1990,Vitebsk,126.897
1991,Brest,42.334
1991,Gomel,47.900
1991,Grodno,44.660
1991,Minsk,56.250
1991,Mogilev,70.274
1991,Vitebsk,79.432
1992,Brest,122.783
1992,Gomel,62.515
1992,Grodno,122.555
1992,Minsk,103.175
1992,Mogilev,64.560
1992,Vitebsk,95.415
1993,Brest,81.595
1993,Gomel,106.517
1993,Grodno,85.624
1993,Minsk,88.067
1993,Mogilev,103.123
1993,Vitebsk,100.728
1994,Brest,92.609
1994,Gomel,64.179
1994,Grodno,117.242
1994,Minsk,97.469
1994,Mogilev,74.458
1994,Vitebsk,104.220
1995,Brest,85.494
1995,Gomel,97.608
1995,Grodno,73.140
1995,Minsk,71.734
1995,Mogilev,114.819
1995,Vitebsk,112.611
1996,Brest,61.451
1996,Gomel,84.065
1996,Grodno,67.758
1996,Minsk,71.333
1996,Mogilev,86.217
1996,Vitebsk,106.280
1997,Brest,42.507
1997,Gomel,61.854
1997,Grodno,49.752
1997,Minsk,61.044
1997,Mogilev,69.708
1997,Vitebsk,85.150
1998,Brest,77.737
1998,Gomel,81.072
1998,Grodno,70.443
1998,Minsk,102.023
1998,Mogilev,81.765
1998,Vitebsk,88.789
1999,Brest,46.820
1999,Gomel,52.839
1999,Grodno,28.406
1999,Minsk,27.620
1999,Mogilev,28.417
1999,Vitebsk,31.151
2000,Brest,54.004
2000,Gomel,77.712
2000,Grodno,40.353
2000,Minsk,47.059
2000,Mogilev,51.576
2000,Vitebsk,28.733
2001,Brest,110.781
2001,Gomel,59.415
2001,Grodno,97.652
2001,Minsk,57.998
2001,Mogilev,52.090
2001,Vitebsk,57.681
2002,Brest,39.958
2002,Gomel,49.752
2002,Grodno,40.296
2002,Minsk,32.991
2002,Mogilev,32.829
2002,Vitebsk,40.311
2003,Brest,22.277
2003,Gomel,40.883
2003,Grodno,31.339
2003,Minsk,24.504
2003,Mogilev,47.621
2003,Vitebsk,30.810
2004,Brest,31.534
2004,Gomel,34.193
2004,Grodno,44.097
2004,Minsk,44.787
2004,Mogilev,37.018
2004,Vitebsk,60.353
2005,Brest,18.255
2005,Gomel,9.216
2005,Grodno,35.610
2005,Minsk,22.042
2005,Mogilev,14.245
2005,Vitebsk,31.315
2006,Brest,39.322
2006,Gomel,42.328
2006,Grodno,52.159
2006,Minsk,35.371
2006,Mogilev,45.893
2006,Vitebsk,55.045
2007,Brest,39.216
2007,Gomel,39.070
2007,Grodno,37.646
2007,Minsk,29.517
2007,Mogilev,36.220
2007,Vitebsk,33.368
2008,Brest,89.655
2008,Gomel,80.981
2008,Grodno,69.457
2008,Minsk,74.534
2008,Mogilev,63.565
2008,Vitebsk,57.256
2009,Brest,36.957
2009,Gomel,23.275
2009,Grodno,52.041
2009,Minsk,51.712
2009,Mogilev,36.446
2009,Vitebsk,73.478
2010,Brest,101.740
2010,Gomel,72.159
2010,Grodno,96.707
2010,Minsk,75.432
2010,Mogilev,70.415
2010,Vitebsk,88.471
2011,Brest,21.116
2011,Gomel,28.771
2011,Grodno,29.897
2011,Minsk,36.707
2011,Mogilev,42.124
2011,Vitebsk,53.868
2012,Brest,41.118
2012,Gomel,46.591
2012,Grodno,37.865
2012,Minsk,48.920
2012,Mogilev,60.296
2012,Vitebsk,69.162
2013,Brest,121.340
2013,Gomel,90.285
2013,Grodno,111.347
2013,Minsk,73.592
2013,Mogilev,82.062
2013,Vitebsk,65.626
2014,Brest,32.973
2014,Gomel,24.589
2014,Grodno,36.433
2014,Minsk,31.732
2014,Mogilev,33.430
2014,Vitebsk,30.853
2015,Brest,104.503
2015,Gomel,66.477
2015,Grodno,77.663
2015,Minsk,96.831
2015,Mogilev,66.636
2015,Vitebsk,102.691
2016,Brest,19.114
2016,Gomel,17.119
2016,Grodno,32.273
2016,Minsk,31.599
2016,Mogilev,33.513
2016,Vitebsk,47.250
2017,Brest,84.879
2017,Gomel,52.411
2017,Grodno,109.312
2017,Minsk,92.131
2017,Mogilev,62.783
2017,Vitebsk,83.939
2018,Brest,53.013
2018,Gomel,44.534
2018,Grodno,54.968
2018,Minsk,50.117
2018,Mogilev,54.765
2018,Vitebsk,52.400
2019,Brest,59.854
2019,Gomel,49.759
2019,Grodno,64.067
2019,Minsk,54.383
2019,Mogilev,47.149
2019,Vitebsk,61.686
2020,Brest,57.946
2020,Gomel,39.194
2020,Grodno,41.782
2020,Minsk,45.048
2020,Mogilev,56.238
2020,Vitebsk,54.981
2021,Brest,83.222
2021,Gomel,81.339
2021,Grodno,105.703
2021,Minsk,94.521
2021,Mogilev,95.394
2021,Vitebsk,77.317
2022,Brest,90.739
2022,Gomel,100.472
2022,Grodno,60.572
2022,Minsk,68.274
2022,Mogilev,89.015
2022,Vitebsk,63.321
