year,region,tp_warm
1984,Mogilev,471.336
1984,Vitebsk,434.276
1985,Brest,505.405
1985,Gomel,458.405
1985,Grodno,519.850
1985,Minsk,430.787
1985,Mogilev,509.176
1985,Vitebsk,468.461
1986,Brest,389.653
1986,Gomel,400.867
1986,Grodno,427.979
1986,Minsk,400.313
1986,Mogilev,415.220
1986,Vitebsk,443.604
1987,Brest,397.019
1987,Gomel,421.161
1987,Grodno,436.136
1987,Minsk,376.776
1987,Mogilev,442.257
1987,Vitebsk,498.674
1988,Brest,534.588
1988,Gomel,439.733
1988,Grodno,511.994
1988,Minsk,450.672
1988,Mogilev,454.723
1988,Vitebsk,485.189
1989,Brest,405.856
1989,Gomel,361.895
1989,Grodno,407.155
1989,Minsk,427.782
1989,Mogilev,379.462
1989,Vitebsk,453.185
1990,Brest,527.773
1990,Gomel,546.032
1990,Grodno,555.888
1990,Minsk,530.908
1990,Mogilev,504.555
1990,Vitebsk,541.717
1991,Brest,363.888
1991,Gomel,372.529
1991,Grodno,330.118
1991,Minsk,380.732
1991,Mogilev,440.601
1991,Vitebsk,428.957
1992,Brest,346.470
1992,Gomel,281.345
1992,Grodno,293.555
1992,Minsk,285.030
1992,Mogilev,255.028
1992,Vitebsk,270.226
1993,Brest,434.716
1993,Gomel,490.322
1993,Grodno,457.279
1993,Minsk,430.535
1993,Mogilev,443.712
1993,Vitebsk,439.243
1994,Brest,311.030
1994,Gomel,322.592
1994,Grodno,372.803
1994,Minsk,378.720
1994,Mogilev,333.143
1994,Vitebsk,404.439
1995,Brest,386.324
1995,Gomel,363.855
1995,Grodno,373.237
1995,Minsk,365.454
1995,Mogilev,393.556
1995,Vitebsk,406.140
1996,Brest,355.213
1996,Gomel,375.194
1996,Grodno,381.791
1996,Minsk,344.457
1996,Mogilev,344.645
1996,Vitebsk,360.503
1997,Brest,418.908
1997,Gomel,421.970
1997,Grodno,392.676
1997,Minsk,432.833
1997,Mogilev,426.099
1997,Vitebsk,427.354
1998,Brest,497.144
1998,Gomel,497.555
1998,Grodno,502.940
1998,Minsk,596.646
1998,Mogilev,540.988
1998,Vitebsk,590.543
1999,Brest,293.256
1999,Gomel,340.110
1999,Grodno,288.164
1999,Minsk,245.394
1999,Mogilev,289.615
1999,Vitebsk,266.388
2000,Brest,362.465
2000,Gomel,387.133
2000,Grodno,367.437
2000,Minsk,362.216
2000,Mogilev,397.389
2000,Vitebsk,425.588
2001,Brest,370.346
2001,Gomel,365.283
2001,Grodno,367.437
2001,Minsk,343.185
2001,Mogilev,367.904
2001,Vitebsk,389.009
2002,Brest,266.656
2002,Gomel,242.556
2002,Grodno,246.141
2002,Minsk,231.132
2002,Mogilev,222.558
2002,Vitebsk,227.745
2003,Brest,339.685
2003,Gomel,323.622
2003,Grodno,373.347
2003,Minsk,358.173
2003,Mogilev,352.875
2003,Vitebsk,409.800
2004,Brest,385.761
2004,Gomel,302.750
2004,Grodno,409.383
2004,Minsk,386.394
2004,Mogilev,296.484
2004,Vitebsk,319.309
2005,Brest,332.807
2005,Gomel,296.903
2005,Grodno,412.005
2005,Minsk,398.003
2005,Mogilev,373.950
2005,Vitebsk,451.055
2006,Brest,449.640
2006,Gomel,438.285
2006,Grodno,445.225
2006,Minsk,422.638
2006,Mogilev,450.826
