year,region,e_Nov
1970,Grodno,11.649
1970,Minsk,9.176
1970,Mogilev,8.949
1970,Vitebsk,7.057
1971,Brest,13.084
1971,Gomel,10.936
1971,Grodno,11.689
1971,Minsk,10.277
1971,Mogilev,9.049
1971,Vitebsk,10.168
1972,Brest,13.567
1972,Gomel,12.188
1972,Grodno,12.375
1972,Minsk,10.733
1972,Mogilev,9.183
1972,Vitebsk,9.881
1973,Brest,16.709
1973,Gomel,14.720
1973,Grodno,14.223
1973,Minsk,12.419
1973,Mogilev,12.226
1973,Vitebsk,11.916
1974,Brest,10.395
1974,Gomel,12.246
1974,Grodno,10.435
1974,Minsk,10.331
1974,Mogilev,10.505
1974,Vitebsk,10.665
1975,Brest,8.322
1975,Gomel,6.384
1975,Grodno,7.455
1975,Minsk,6.593
1975,Mogilev,5.016
1975,Vitebsk,6.490
1976,Brest,9.561
1976,Gomel,8.837
1976,Grodno,8.298
1976,Minsk,7.195
1976,Mogilev,7.096
1976,Vitebsk,6.460
1977,Brest,15.094
1977,Gomel,12.263
1977,Grodno,14.441
1977,Minsk,12.426
1977,Mogilev,10.683
1977,Vitebsk,14.274
1978,Brest,10.896
1978,Gomel,12.417
1978,Grodno,11.811
1978,Minsk,11.272
1978,Mogilev,12.046
1978,Vitebsk,12.969
1979,Brest,8.729
1979,Gomel,7.431
1979,Grodno,8.511
1979,Minsk,7.243
1979,Mogilev,5.778
1979,Vitebsk,8.442
1980,Brest,10.376
1980,Gomel,8.243
1980,Grodno,8.273
1980,Minsk,7.008
1980,Mogilev,6.176
1980,Vitebsk,6.672
1981,Brest,16.112
1981,Gomel,13.014
1981,Grodno,13.642
1981,Minsk,12.137
1981,Mogilev,10.326
1981,Vitebsk,10.822
1982,Brest,11.661
1982,Gomel,10.526
1982,Grodno,10.870
1982,Minsk,9.862
1982,Mogilev,9.574
1982,Vitebsk,11.500
1983,Brest,9.374
1983,Gomel,9.506
1983,Grodno,8.770
1983,Minsk,8.585
1983,Mogilev,9.123
1983,Vitebsk,10.053
1984,Brest,8.046
1984,Gomel,7.677
1984,Grodno,6.528
1984,Minsk,6.334
1984,Mogilev,5.936
1984,Vitebsk,6.436
1985,Brest,12.222
1985,Gomel,9.676
1985,Grodno,11.909
1985,Minsk,9.942
1985,Mogilev,8.303
1985,Vitebsk,10.285
1986,Brest,9.502
1986,Gomel,8.869
1986,Grodno,9.767
1986,Minsk,7.952
1986,Mogilev,7.214
1986,Vitebsk,8.049
1987,Brest,8.527
1987,Gomel,6.831
1987,Grodno,7.605
