year,region,tp_summer
1976,Vitebsk,186.661
1977,Brest,335.086
1977,Gomel,341.161
1977,Grodno,327.277
1977,Minsk,364.599
1977,Mogilev,303.078
1977,Vitebsk,329.966
1978,Brest,227.790
1978,Gomel,229.263
1978,Grodno,250.430
1978,Minsk,237.283
1978,Mogilev,232.109
1978,Vitebsk,248.304
1979,Brest,224.842
1979,Gomel,215.961
1979,Grodno,225.002
1979,Minsk,258.827
1979,Mogilev,226.695
1979,Vitebsk,284.628
1980,Brest,384.590
1980,Gomel,408.815
1980,Grodno,369.888
1980,Minsk,361.104
1980,Mogilev,399.663
1980,Vitebsk,338.888
1981,Brest,264.485
1981,Gomel,222.601
1981,Grodno,273.299
1981,Minsk,270.722
1981,Mogilev,200.901
1981,Vitebsk,263.296
1982,Brest,226.710
1982,Gomel,322.884
1982,Grodno,230.362
1982,Minsk,298.805
1982,Mogilev,323.388
1982,Vitebsk,281.296
1983,Brest,208.927
1983,Gomel,180.614
1983,Grodno,165.356
1983,Minsk,166.198
1983,Mogilev,183.089
1983,Vitebsk,175.266
1984,Brest,213.838
1984,Gomel,253.657
1984,Grodno,204.136
1984,Minsk,224.110
1984,Mogilev,266.628
1984,Vitebsk,212.963
1985,Brest,304.459
1985,Gomel,294.176
1985,Grodno,332.359
1985,Minsk,251.216
1985,Mogilev,307.622
1985,Vitebsk,284.471
1986,Brest,277.958
1986,Gomel,325.230
1986,Grodno,286.042
1986,Minsk,280.967
1986,Mogilev,322.153
1986,Vitebsk,298.955
1987,Brest,251.779
1987,Gomel,267.769
1987,Grodno,290.603
1987,Minsk,244.635
1987,Mogilev,291.354
1987,Vitebsk,331.931
1988,Brest,389.790
1988,Gomel,330.808
1988,Grodno,366.971
1988,Minsk,344.839
1988,Mogilev,343.675
1988,Vitebsk,372.664
1989,Brest,306.955
1989,Gomel,265.983
1989,Grodno,324.725
1989,Minsk,341.542
1989,Mogilev,290.962
1989,Vitebsk,378.750
1990,Brest,318.436
1990,Gomel,334.169
1990,Grodno,342.199
1990,Minsk,341.407
1990,Mogilev,342.335
1990,Vitebsk,369.896
1991,Brest,235.272
1991,Gomel,206.602
1991,Grodno,208.144
1991,Minsk,236.026
1991,Mogilev,261.430
1991,Vitebsk,257.653
1992,Brest,163.967
1992,Gomel,154.615
1992,Grodno,121.576
1992,Minsk,133.885
1992,Mogilev,145.363
1992,Vitebsk,120.888
1993,Brest,298.397
1993,Gomel,340.010
1993,Grodno,338.539
1993,Minsk,305.518
1993,Mogilev,293.270
1993,Vitebsk,308.331
1994,Brest,141.824
1994,Gomel,190.619
1994,Grodno,162.823
1994,Minsk,201.419
1994,Mogilev,185.569
1994,Vitebsk,207.723
1995,Brest,230.411
1995,Gomel,189.913
1995,Grodno,230.927
1995,Minsk,217.251
1995,Mogilev,202.430
1995,Vitebsk,210.839
1996,Brest,204.577
1996,Gomel,214.903
1996,Grodno,202.673
1996,Minsk,178.368
1996,Mogilev,176.993
1996,Vitebsk,179.176
1997,Brest,283.034
1997,Gomel,284.831
1997,Grodno,249.508
1997,Minsk,280.544
1997,Mogilev,275.237
1997,Vitebsk,271.526
1998,Brest,356.392
1998,Gomel,343.844
1998,Grodno,358.601
1998,Minsk,403.088
1998,Mogilev,374.588
1998,Vitebsk,403.269
1999,Brest,187.739
1999,Gomel,218.369
1999,Grodno,202.952
1999,Minsk,177.892
1999,Mogilev,222.481
1999,Vitebsk,205.409
2000,Brest,273.898
2000,Gomel,259.809
2000,Grodno,283.346
2000,Minsk,273.058
2000,Mogilev,297.977
2000,Vitebsk,356.441
2001,Brest,224.234
2001,Gomel,256.841
2001,Grodno,233.651
2001,Minsk,253.659
2001,Mogilev,262.728
2001,Vitebsk,285.336
2002,Brest,170.616
2002,Gomel,144.061
2002,Grodno,154.946
2002,Minsk,154.184
2002,Mogilev,148.753
2002,Vitebsk,152.941
2003,Brest,239.625
2003,Gomel,227.400
2003,Grodno,248.603
2003,Minsk,245.155
2003,Mogilev,232.332
2003,Vitebsk,267.215
2004,Brest,281.679
2004,Gomel,209.843
2004,Grodno,298.109
2004,Minsk,285.523
2004,Mogilev,215.284
2004,Vitebsk,217.735
2005,Brest,201.292
2005,Gomel,213.923
2005,Grodno,260.925
2005,Minsk,253.916
2005,Mogilev,269.639
2005,Vitebsk,268.441
2006,Brest,335.207
2006,Gomel,304.415
2006,Grodno,311.563
2006,Minsk,297.453
2006,Mogilev,316.410
2006,Vitebsk,318.418
2007,Brest,305.592
2007,Gomel,285.502
2007,Grodno,301.264
2007,Minsk,233.801
2007,Mogilev,244.930
2007,Vitebsk,199.338
2008,Brest,225.158
2008,Gomel,193.861
2008,Grodno,216.839
2008,Minsk,214.604
2008,Mogilev,206.109
2008,Vitebsk,238.791
2009,Brest,277.676
2009,Gomel,292.614
2009,Grodno,278.071
2009,Minsk,318.104
2009,Mogilev,344.809
2009,Vitebsk,285.093
2010,Brest,269.027
2010,Gomel,207.294
2010,Grodno,296.321
2010,Minsk,275.018
2010,Mogilev,215.674
2010,Vitebsk,275.460
2011,Brest,304.757
2011,Gomel,287.748
2011,Grodno,301.298
2011,Minsk,307.958
2011,Mogilev,296.682
2011,Vitebsk,282.832
2012,Brest,272.237
2012,Gomel,331.988
2012,Grodno,282.820
2012,Minsk,278.071
2012,Mogilev,338.428
2012,Vitebsk,262.769
2013,Brest,192.843
2013,Gomel,181.458
2013,Grodno,218.904
2013,Minsk,201.861
2013,Mogilev,169.759
