year,region,e_Jun
1983,Minsk,91.439
1983,Mogilev,100.461
1983,Vitebsk,93.860
1984,Brest,94.045
1984,Gomel,93.455
1984,Grodno,86.164
1984,Minsk,88.489
1984,Mogilev,87.320
1984,Vitebsk,86.149
1985,Brest,99.397
1985,Gomel,102.363
1985,Grodno,95.198
1985,Minsk,97.177
1985,Mogilev,98.237
1985,Vitebsk,88.223
1986,Brest,98.400
1986,Gomel,88.638
1986,Grodno,96.036
1986,Minsk,93.724
1986,Mogilev,94.537
1986,Vitebsk,97.437
1987,Brest,98.640
1987,Gomel,107.169
1987,Grodno,93.191
1987,Minsk,96.723
1987,Mogilev,102.822
1987,Vitebsk,89.608
1988,Brest,75.878
1988,Gomel,83.837
1988,Grodno,80.981
1988,Minsk,78.932
1988,Mogilev,85.902
1988,Vitebsk,80.425
1989,Brest,94.025
1989,Gomel,97.751
1989,Grodno,93.351
1989,Minsk,90.303
1989,Mogilev,95.102
1989,Vitebsk,87.633
1990,Brest,89.232
1990,Gomel,100.637
1990,Grodno,88.549
1990,Minsk,84.399
1990,Mogilev,95.444
1990,Vitebsk,87.735
1991,Brest,100.684
1991,Gomel,103.557
1991,Grodno,93.881
1991,Minsk,97.678
1991,Mogilev,100.243
1991,Vitebsk,90.956
1992,Brest,106.632
1992,Gomel,102.068
1992,Grodno,98.207
1992,Minsk,94.691
1992,Mogilev,87.624
1992,Vitebsk,93.777
1993,Brest,92.723
1993,Gomel,84.227
1993,Grodno,83.922
1993,Minsk,83.662
1993,Mogilev,85.644
1993,Vitebsk,81.059
1994,Brest,103.556
1994,Gomel,102.365
1994,Grodno,103.563
1994,Minsk,104.043
1994,Mogilev,102.763
1994,Vitebsk,98.278
1995,Brest,99.863
1995,Gomel,103.757
1995,Grodno,97.564
1995,Minsk,100.520
1995,Mogilev,115.309
1995,Vitebsk,115.464
1996,Brest,93.150
1996,Gomel,83.902
1996,Grodno,101.755
1996,Minsk,99.205
1996,Mogilev,92.015
1996,Vitebsk,93.417
1997,Brest,98.709
1997,Gomel,100.139
1997,Grodno,98.612
1997,Minsk,98.829
1997,Mogilev,97.374
1997,Vitebsk,94.658
1998,Brest,96.259
1998,Gomel,107.301
1998,Grodno,96.474
1998,Minsk,100.912
1998,Mogilev,106.705
1998,Vitebsk,96.937
1999,Brest,100.346
1999,Gomel,97.648
1999,Grodno,93.842
1999,Minsk,88.667
1999,Mogilev,94.779
1999,Vitebsk,89.991
2000,Brest,89.550
2000,Gomel,89.597
2000,Grodno,93.423
2000,Minsk,88.027
2000,Mogilev,93.753
2000,Vitebsk,90.519
2001,Brest,80.959
2001,Gomel,96.794
2001,Grodno,79.085
2001,Minsk,91.717
2001,Mogilev,95.705
2001,Vitebsk,92.770
2002,Brest,95.620
2002,Gomel,89.992
2002,Grodno,92.075
2002,Minsk,93.231
2002,Mogilev,95.175
2002,Vitebsk,93.147
2003,Brest,89.298
2003,Gomel,75.519
2003,Grodno,90.985
2003,Minsk,89.379
2003,Mogilev,79.231
2003,Vitebsk,96.490
2004,Brest,93.169
2004,Gomel,92.261
2004,Grodno,88.262
2004,Minsk,90.852
2004,Mogilev,92.497
2004,Vitebsk,77.666
2005,Brest,100.524
2005,Gomel,96.451
2005,Grodno,103.365
2005,Minsk,106.198
2005,Mogilev,98.945
2005,Vitebsk,101.441
2006,Brest,82.775
2006,Gomel,107.505
2006,Grodno,98.602
2006,Minsk,99.121
2006,Mogilev,99.444
2006,Vitebsk,94.317
2007,Brest,93.108
2007,Gomel,98.565
2007,Grodno,90.611
2007,Minsk,89.629
2007,Mogilev,108.888
2007,Vitebsk,100.362
2008,Brest,108.650
2008,Gomel,105.470
2008,Grodno,107.497
2008,Minsk,105.505
2008,Mogilev,107.479
2008,Vitebsk,105.087
2009,Brest,99.034
2009,Gomel,110.272
2009,Grodno,89.333
2009,Minsk,97.610
2009,Mogilev,103.499
2009,Vitebsk,91.723
2010,Brest,113.415
2010,Gomel,112.043
2010,Grodno,107.704
2010,Minsk,114.624
2010,Mogilev,126.543
2010,Vitebsk,107.196
2011,Brest,97.268
2011,Gomel,93.120
2011,Grodno,99.808
2011,Minsk,95.097
2011,Mogilev,98.064
2011,Vitebsk,93.175
2012,Brest,99.293
2012,Gomel,110.191
2012,Grodno,94.445
2012,Minsk,102.239
2012,Mogilev,102.682
2012,Vitebsk,92.403
2013,Brest,111.697
2013,Gomel,111.555
2013,Grodno,108.189
2013,Minsk,113.516
2013,Mogilev,107.194
2013,Vitebsk,109.864
2014,Brest,103.931
2014,Gomel,108.480
2014,Grodno,96.386
2014,Minsk,101.551
2014,Mogilev,104.221
2014,Vitebsk,99.133
2015,Brest,85.213
2015,Gomel,76.107
2015,Grodno,100.084
2015,Minsk,87.631
2015,Mogilev,82.207
2015,Vitebsk,87.536
2016,Brest,103.175
2016,Gomel,93.151
2016,Grodno,97.786
2016,Minsk,92.275
2016,Mogilev,100.433
2016,Vitebsk,99.899
2017,Brest,95.401
2017,Gomel,83.161
2017,Grodno,90.167
2017,Minsk,100.200
2017,Mogilev,99.521
2017,Vitebsk,95.407
2018,Brest,82.454
2018,Gomel,91.176
2018,Grodno,75.058
2018,Minsk,80.641
2018,Mogilev,97.177
2018,Vitebsk,87.938
2019,Brest,115.417
2019,Gomel,90.221
2019,Grodno,102.651
2019,Minsk,96.505
2019,Mogilev,103.260
2019,Vitebsk,102.869
2020,Brest,113.240
2020,Gomel,118.330
2020,Grodno,104.719
2020,Minsk,113.369
2020,Mogilev,122.372
2020,Vitebsk,102.138
2021,Brest,103.558
2021,Gomel,107.618
2021,Grodno,118.293
2021,Minsk,118.930
2021,Mogilev,118.829
2021,Vitebsk,117.236
2022,Brest,104.560
2022,Gomel,109.627
2022,Grodno,111.207
2022,Minsk,116.550
2022,Mogilev,118.322
2022,Vitebsk,104.688
