year,region,e_spring
2004,Brest,179.542
2004,Gomel,179.977
2004,Grodno,169.207
2004,Minsk,166.936
2004,Mogilev,163.983
2004,Vitebsk,144.016
2005,Brest,161.662
2005,Gomel,169.578
2005,Grodno,155.671
2005,Minsk,147.725
2005,Mogilev,156.899
2005,Vitebsk,140.354
2006,Brest,140.668
2006,Gomel,157.972
2006,Grodno,150.210
2006,Minsk,137.575
2006,Mogilev,142.162
2006,Vitebsk,132.935
2007,Brest,182.875
2007,Gomel,190.575
2007,Grodno,179.316
2007,Minsk,177.509
2007,Mogilev,187.293
2007,Vitebsk,168.968
2008,Brest,183.735
2008,Gomel,189.923
2008,Grodno,174.073
2008,Minsk,171.428
2008,Mogilev,175.609
2008,Vitebsk,160.573
2009,Brest,175.535
2009,Gomel,164.355
2009,Grodno,166.082
2009,Minsk,166.377
2009,Mogilev,166.022
2009,Vitebsk,156.256
2010,Brest,184.859
2010,Gomel,178.837
2010,Grodno,171.252
2010,Minsk,165.593
2010,Mogilev,168.026
2010,Vitebsk,153.856
2011,Brest,177.847
2011,Gomel,178.016
2011,Grodno,173.235
2011,Minsk,166.039
2011,Mogilev,171.555
2011,Vitebsk,157.641
2012,Brest,188.286
2012,Gomel,188.350
2012,Grodno,177.701
2012,Minsk,181.895
2012,Mogilev,175.950
2012,Vitebsk,165.030
2013,Brest,175.762
2013,Gomel,184.234
2013,Grodno,162.656
2013,Minsk,164.130
2013,Mogilev,170.437
2013,Vitebsk,155.004
2014,Brest,193.174
2014,Gomel,197.253
2014,Grodno,182.479
2014,Minsk,182.625
2014,Mogilev,187.278
2014,Vitebsk,171.850
2015,Brest,173.233
2015,Gomel,159.185
2015,Grodno,175.305
2015,Minsk,173.593
2015,Mogilev,159.567
2015,Vitebsk,166.810
2016,Brest,193.033
2016,Gomel,186.163
2016,Grodno,181.101
2016,Minsk,182.841
2016,Mogilev,178.702
2016,Vitebsk,169.069
2017,Brest,201.106
2017,Gomel,186.846
2017,Grodno,182.797
2017,Minsk,180.934
2017,Mogilev,180.015
2017,Vitebsk,163.587
2018,Brest,191.217
2018,Gomel,178.420
2018,Grodno,175.262
2018,Minsk,175.428
2018,Mogilev,177.203
2018,Vitebsk,170.188
2019,Brest,181.377
2019,Gomel,167.022
2019,Grodno,173.674
2019,Minsk,170.324
2019,Mogilev,172.041
2019,Vitebsk,164.060
2020,Brest,166.049
2020,Gomel,151.285
2020,Grodno,170.770
2020,Minsk,168.375
2020,Mogilev,167.544
2020,Vitebsk,167.993
2021,Brest,186.137
2021,Gomel,184.988
2021,Grodno,176.263
2021,Minsk,177.261
2021,Mogilev,178.110
2021,Vitebsk,168.047
2022,Brest,168.057
2022,Gomel,174.788
2022,Grodno,164.897
2022,Minsk,170.932
2022,Mogilev,171.800
2022,Vitebsk,159.820
