year,region,e_summer
1992,Vitebsk,249.192
1993,Brest,272.386
1993,Gomel,268.861
1993,Grodno,256.952
1993,Minsk,258.243
1993,Mogilev,257.433
1993,Vitebsk,247.071
1994,Brest,268.784
1994,Gomel,275.186
1994,Grodno,262.957
1994,Minsk,272.447
1994,Mogilev,276.426
1994,Vitebsk,271.678
1995,Brest,268.366
1995,Gomel,263.059
1995,Grodno,264.050
1995,Minsk,257.035
1995,Mogilev,296.661
1995,Vitebsk,294.533
1996,Brest,269.576
1996,Gomel,264.012
1996,Grodno,285.590
1996,Minsk,278.592
1996,Mogilev,263.099
1996,Vitebsk,267.613
1997,Brest,276.745
1997,Gomel,274.486
1997,Grodno,284.248
1997,Minsk,284.879
1997,Mogilev,282.092
1997,Vitebsk,283.837
1998,Brest,277.167
1998,Gomel,299.788
1998,Grodno,274.128
1998,Minsk,284.284
1998,Mogilev,293.723
1998,Vitebsk,275.593
1999,Brest,272.779
1999,Gomel,282.337
1999,Grodno,262.533
1999,Minsk,242.699
1999,Mogilev,269.802
1999,Vitebsk,252.363
2000,Brest,266.593
2000,Gomel,277.634
2000,Grodno,262.250
2000,Minsk,259.177
2000,Mogilev,274.849
2000,Vitebsk,256.526
2001,Brest,261.581
2001,Gomel,297.732
2001,Grodno,261.061
2001,Minsk,285.683
2001,Mogilev,284.684
2001,Vitebsk,286.772
2002,Brest,277.722
2002,Gomel,260.953
2002,Grodno,256.723
2002,Minsk,271.858
2002,Mogilev,280.644
2002,Vitebsk,268.394
2003,Brest,275.748
2003,Gomel,248.683
2003,Grodno,259.656
2003,Minsk,271.158
2003,Mogilev,239.681
2003,Vitebsk,268.765
2004,Brest,281.946
2004,Gomel,285.267
2004,Grodno,273.115
2004,Minsk,283.862
2004,Mogilev,277.829
2004,Vitebsk,247.907
2005,Brest,265.364
2005,Gomel,265.593
2005,Grodno,277.272
2005,Minsk,286.479
2005,Mogilev,303.179
2005,Vitebsk,287.450
2006,Brest,245.030
2006,Gomel,299.849
2006,Grodno,273.766
2006,Minsk,266.693
2006,Mogilev,271.407
2006,Vitebsk,263.067
2007,Brest,293.838
2007,Gomel,309.704
2007,Grodno,286.948
2007,Minsk,276.567
2007,Mogilev,299.841
2007,Vitebsk,279.988
2008,Brest,297.707
2008,Gomel,302.182
2008,Grodno,289.965
2008,Minsk,293.935
2008,Mogilev,300.346
2008,Vitebsk,293.692
2009,Brest,298.831
2009,Gomel,303.074
2009,Grodno,273.747
2009,Minsk,299.822
2009,Mogilev,306.697
2009,Vitebsk,277.740
2010,Brest,300.015
2010,Gomel,311.167
2010,Grodno,312.945
2010,Minsk,322.709
2010,Mogilev,337.937
2010,Vitebsk,312.152
2011,Brest,295.722
2011,Gomel,299.434
2011,Grodno,290.516
2011,Minsk,292.806
2011,Mogilev,304.190
2011,Vitebsk,280.498
2012,Brest,262.534
2012,Gomel,312.092
2012,Grodno,267.721
2012,Minsk,288.350
2012,Mogilev,313.510
2012,Vitebsk,280.166
2013,Brest,288.987
2013,Gomel,282.153
2013,Grodno,286.364
2013,Minsk,294.699
2013,Mogilev,276.213
2013,Vitebsk,286.221
2014,Brest,289.093
2014,Gomel,305.238
2014,Grodno,289.028
2014,Minsk,294.256
2014,Mogilev,295.227
2014,Vitebsk,296.829
2015,Brest,232.617
2015,Gomel,237.140
2015,Grodno,264.451
2015,Minsk,247.231
2015,Mogilev,240.010
2015,Vitebsk,254.436
2016,Brest,283.290
2016,Gomel,275.711
2016,Grodno,284.329
2016,Minsk,276.604
2016,Mogilev,296.948
2016,Vitebsk,290.429
2017,Brest,285.479
2017,Gomel,264.220
2017,Grodno,276.470
2017,Minsk,294.819
2017,Mogilev,291.728
2017,Vitebsk,280.128
2018,Brest,268.837
2018,Gomel,289.794
2018,Grodno,256.524
2018,Minsk,267.845
2018,Mogilev,297.928
2018,Vitebsk,268.854
2019,Brest,299.287
2019,Gomel,263.937
2019,Grodno,267.550
2019,Minsk,275.432
2019,Mogilev,288.412
2019,Vitebsk,277.792
2020,Brest,292.742
2020,Gomel,288.696
2020,Grodno,246.786
2020,Minsk,293.631
2020,Mogilev,319.667
2020,Vitebsk,277.074
2021,Brest,291.089
2021,Gomel,289.634
2021,Grodno,313.138
2021,Minsk,302.505
2021,Mogilev,296.609
2021,Vitebsk,297.341
2022,Brest,279.279
2022,Gomel,289.113
2022,Grodno,306.052
2022,Minsk,312.930
2022,Mogilev,319.513
2022,Vitebsk,298.543
