year,region,e_Oct
1977,Mogilev,19.734
1977,Vitebsk,20.716
1978,Brest,23.963
1978,Gomel,25.228
1978,Grodno,22.524
1978,Minsk,22.359
1978,Mogilev,21.925
1978,Vitebsk,19.732
1979,Brest,18.741
1979,Gomel,20.238
1979,Grodno,20.021
1979,Minsk,18.701
1979,Mogilev,19.901
1979,Vitebsk,20.699
1980,Brest,29.207
1980,Gomel,29.352
1980,Grodno,27.091
1980,Minsk,26.134
1980,Mogilev,24.575
1980,Vitebsk,25.680
1981,Brest,27.984
1981,Gomel,27.913
1981,Grodno,27.068
1981,Minsk,24.740
1981,Mogilev,24.645
1981,Vitebsk,26.757
1982,Brest,18.992
1982,Gomel,18.654
1982,Grodno,18.038
1982,Minsk,17.806
1982,Mogilev,16.585
1982,Vitebsk,18.764
1983,Brest,26.063
1983,Gomel,21.807
1983,Grodno,25.744
1983,Minsk,21.514
1983,Mogilev,20.864
1983,Vitebsk,24.782
1984,Brest,29.191
1984,Gomel,27.801
1984,Grodno,27.531
1984,Minsk,25.789
1984,Mogilev,25.169
1984,Vitebsk,26.883
1985,Brest,23.421
1985,Gomel,24.078
1985,Grodno,23.391
1985,Minsk,22.332
1985,Mogilev,21.658
1985,Vitebsk,22.895
1986,Brest,23.736
1986,Gomel,21.754
1986,Grodno,24.455
1986,Minsk,20.962
1986,Mogilev,19.904
1986,Vitebsk,20.536
1987,Brest,25.673
1987,Gomel,26.297
1987,Grodno,25.083
1987,Minsk,22.115
1987,Mogilev,23.008
1987,Vitebsk,22.793
1988,Brest,25.339
1988,Gomel,22.747
1988,Grodno,23.941
1988,Minsk,20.810
1988,Mogilev,20.834
1988,Vitebsk,22.020
1989,Brest,27.636
1989,Gomel,26.272
1989,Grodno,25.784
1989,Minsk,24.073
1989,Mogilev,23.378
1989,Vitebsk,22.795
1990,Brest,27.914
1990,Gomel,26.690
1990,Grodno,24.931
1990,Minsk,23.112
1990,Mogilev,22.495
1990,Vitebsk,22.394
1991,Brest,23.909
1991,Gomel,25.958
1991,Grodno,21.980
1991,Minsk,21.874
1991,Mogilev,23.678
1991,Vitebsk,22.463
1992,Brest,23.252
1992,Gomel,23.196
1992,Grodno,20.881
1992,Minsk,19.644
1992,Mogilev,19.604
1992,Vitebsk,18.430
1993,Brest,26.524
1993,Gomel,26.991
1993,Grodno,23.856
1993,Minsk,22.379
1993,Mogilev,22.616
1993,Vitebsk,20.405
1994,Brest,24.300
1994,Gomel,25.289
1994,Grodno,23.678
1994,Minsk,22.203
1994,Mogilev,22.530
1994,Vitebsk,23.008
1995,Brest,23.715
1995,Gomel,23.401
1995,Grodno,24.045
1995,Minsk,22.886
1995,Mogilev,22.790
1995,Vitebsk,25.819
1996,Brest,24.871
1996,Gomel,24.170
1996,Grodno,23.734
1996,Minsk,21.413
1996,Mogilev,20.274
1996,Vitebsk,19.368
1997,Brest,26.947
1997,Gomel,25.840
1997,Grodno,24.595
1997,Minsk,23.195
1997,Mogilev,22.283
1997,Vitebsk,23.457
1998,Brest,29.735
1998,Gomel,29.049
1998,Grodno,29.290
1998,Minsk,26.038
1998,Mogilev,23.091
1998,Vitebsk,25.872
1999,Brest,27.484
1999,Gomel,29.212
1999,Grodno,27.199
1999,Minsk,25.491
1999,Mogilev,26.761
1999,Vitebsk,28.146
2000,Brest,25.142
2000,Gomel,22.009
2000,Grodno,24.150
2000,Minsk,20.994
2000,Mogilev,18.932
2000,Vitebsk,21.944
2001,Brest,25.867
2001,Gomel,24.874
2001,Grodno,24.032
2001,Minsk,22.251
2001,Mogilev,22.002
2001,Vitebsk,20.928
2002,Brest,27.393
2002,Gomel,27.253
2002,Grodno,22.358
2002,Minsk,21.387
2002,Mogilev,19.149
2002,Vitebsk,18.984
2003,Brest,23.351
2003,Gomel,25.528
2003,Grodno,22.392
2003,Minsk,22.027
2003,Mogilev,23.599
2003,Vitebsk,21.664
2004,Brest,25.360
2004,Gomel,22.116
2004,Grodno,23.383
2004,Minsk,21.205
2004,Mogilev,20.737
2004,Vitebsk,21.010
2005,Brest,22.561
2005,Gomel,24.022
2005,Grodno,23.891
2005,Minsk,23.194
2005,Mogilev,22.275
2005,Vitebsk,23.161
2006,Brest,25.529
2006,Gomel,24.040
2006,Grodno,27.274
2006,Minsk,24.751
2006,Mogilev,22.660
2006,Vitebsk,24.350
2007,Brest,22.957
2007,Gomel,23.839
2007,Grodno,22.340
2007,Minsk,21.437
2007,Mogilev,22.035
2007,Vitebsk,21.623
2008,Brest,25.447
2008,Gomel,25.337
2008,Grodno,24.004
2008,Minsk,22.963
2008,Mogilev,22.121
2008,Vitebsk,24.576
2009,Brest,25.181
2009,Gomel,25.928
2009,Grodno,23.944
2009,Minsk,23.831
2009,Mogilev,25.919
2009,Vitebsk,23.845
2010,Brest,25.072
2010,Gomel,24.340
2010,Grodno,23.506
2010,Minsk,22.765
2010,Mogilev,23.389
2010,Vitebsk,21.756
2011,Brest,21.170
2011,Gomel,21.269
2011,Grodno,21.134
2011,Minsk,20.121
2011,Mogilev,21.402
2011,Vitebsk,21.599
2012,Brest,23.518
2012,Gomel,26.176
2012,Grodno,23.674
2012,Minsk,23.577
2012,Mogilev,22.732
2012,Vitebsk,23.134
