year,region,tp_cold
1977,Vitebsk,265.794
1978,Brest,254.903
1978,Gomel,251.658
1978,Grodno,274.932
1978,Minsk,258.852
1978,Mogilev,252.665
1978,Vitebsk,249.391
1979,Brest,212.495
1979,Gomel,229.621
1979,Grodno,220.320
1979,Minsk,224.612
1979,Mogilev,243.335
1979,Vitebsk,227.790
1980,Brest,237.241
1980,Gomel,244.670
1980,Grodno,251.259
1980,Minsk,241.279
1980,Mogilev,246.169
1980,Vitebsk,253.029
1981,Brest,246.675
1981,Gomel,244.130
1981,Grodno,261.312
1981,Minsk,248.107
1981,Mogilev,263.162
1981,Vitebsk,255.881
1982,Brest,308.463
1982,Gomel,285.673
1982,Grodno,327.402
1982,Minsk,328.137
1982,Mogilev,303.351
1982,Vitebsk,332.458
1983,Brest,186.411
1983,Gomel,194.631
1983,Grodno,207.483
1983,Minsk,221.539
1983,Mogilev,224.758
1983,Vitebsk,267.900
1984,Brest,187.396
1984,Gomel,178.672
1984,Grodno,203.287
1984,Minsk,200.031
1984,Mogilev,199.133
1984,Vitebsk,217.560
1985,Brest,234.170
1985,Gomel,208.199
1985,Grodno,250.209
1985,Minsk,227.013
1985,Mogilev,224.893
1985,Vitebsk,256.356
1986,Brest,201.905
1986,Gomel,215.337
1986,Grodno,217.239
1986,Minsk,220.189
1986,Mogilev,232.686
1986,Vitebsk,254.787
1987,Brest,268.549
1987,Gomel,223.724
1987,Grodno,276.642
1987,Minsk,248.515
1987,Mogilev,248.396
1987,Vitebsk,267.751
1988,Brest,240.928
1988,Gomel,250.254
1988,Grodno,264.166
1988,Minsk,263.906
1988,Mogilev,275.982
1988,Vitebsk,300.204
1989,Brest,209.770
1989,Gomel,217.164
1989,Grodno,259.372
1989,Minsk,259.202
1989,Mogilev,273.911
1989,Vitebsk,299.844
1990,Brest,206.945
1990,Gomel,202.102
1990,Grodno,225.068
1990,Minsk,218.811
1990,Mogilev,219.102
1990,Vitebsk,242.496
1991,Brest,208.379
1991,Gomel,202.067
1991,Grodno,250.883
1991,Minsk,231.105
1991,Mogilev,234.772
1991,Vitebsk,270.665
1992,Brest,237.344
1992,Gomel,251.916
1992,Grodno,267.073
1992,Minsk,250.531
1992,Mogilev,246.461
1992,Vitebsk,275.393
1993,Brest,260.522
1993,Gomel,239.365
1993,Grodno,285.030
1993,Minsk,269.513
1993,Mogilev,255.610
1993,Vitebsk,272.109
1994,Brest,267.525
1994,Gomel,238.800
1994,Grodno,299.396
1994,Minsk,259.876
1994,Mogilev,249.985
1994,Vitebsk,281.618
1995,Brest,183.091
1995,Gomel,163.782
1995,Grodno,201.906
1995,Minsk,201.414
1995,Mogilev,172.234
1995,Vitebsk,184.504
1996,Brest,169.018
1996,Gomel,222.259
1996,Grodno,198.170
1996,Minsk,216.989
1996,Mogilev,234.282
1996,Vitebsk,250.871
1997,Brest,260.232
1997,Gomel,244.842
1997,Grodno,270.802
1997,Minsk,265.057
1997,Mogilev,233.014
1997,Vitebsk,271.104
1998,Brest,234.410
1998,Gomel,245.369
1998,Grodno,258.112
1998,Minsk,262.461
1998,Mogilev,253.998
1998,Vitebsk,259.510
1999,Brest,262.382
1999,Gomel,242.706
1999,Grodno,270.453
1999,Minsk,255.217
1999,Mogilev,252.891
1999,Vitebsk,255.817
2000,Brest,228.145
2000,Gomel,254.544
2000,Grodno,236.998
2000,Minsk,239.478
2000,Mogilev,270.202
2000,Vitebsk,259.381
2001,Brest,236.635
2001,Gomel,220.335
2001,Grodno,265.532
2001,Minsk,241.292
2001,Mogilev,242.180
2001,Vitebsk,282.636
2002,Brest,172.236
2002,Gomel,157.473
2002,Grodno,163.919
2002,Minsk,153.436
2002,Mogilev,153.535
2002,Vitebsk,159.336
2003,Brest,240.788
2003,Gomel,258.073
2003,Grodno,277.934
2003,Minsk,266.609
2003,Mogilev,279.937
2003,Vitebsk,290.124
2004,Brest,257.458
2004,Gomel,272.716
2004,Grodno,252.048
2004,Minsk,243.441
2004,Mogilev,272.312
2004,Vitebsk,251.205
2005,Brest,231.132
2005,Gomel,232.890
2005,Grodno,212.506
2005,Minsk,185.403
2005,Mogilev,213.429
2005,Vitebsk,179.883
2006,Brest,236.546
2006,Gomel,195.305
2006,Grodno,251.538
2006,Minsk,224.084
2006,Mogilev,217.648
2006,Vitebsk,245.904
2007,Brest,213.633
2007,Gomel,239.731
2007,Grodno,249.553
2007,Minsk,252.677
2007,Mogilev,268.983
2007,Vitebsk,274.945
2008,Brest,215.114
2008,Gomel,220.121
2008,Grodno,219.585
2008,Minsk,222.292
2008,Mogilev,246.368
2008,Vitebsk,247.690
2009,Brest,232.468
2009,Gomel,249.859
2009,Grodno,242.102
2009,Minsk,250.395
