year,region,e_Feb
1995,Mogilev,9.598
1995,Vitebsk,10.713
1996,Brest,5.554
1996,Gomel,5.805
1996,Grodno,4.334
1996,Minsk,2.756
1996,Mogilev,4.391
1996,Vitebsk,4.967
1997,Brest,12.420
1997,Gomel,13.057
1997,Grodno,13.798
1997,Minsk,11.810
1997,Mogilev,12.308
1997,Vitebsk,11.710
1998,Brest,13.304
1998,Gomel,10.154
1998,Grodno,11.836
1998,Minsk,9.707
1998,Mogilev,8.148
1998,Vitebsk,8.209
1999,Brest,9.535
1999,Gomel,7.662
1999,Grodno,8.319
1999,Minsk,6.276
1999,Mogilev,6.367
1999,Vitebsk,5.535
2000,Brest,13.430
2000,Gomel,9.509
2000,Grodno,10.976
2000,Minsk,8.019
2000,Mogilev,8.131
2000,Vitebsk,8.406
2001,Brest,10.184
2001,Gomel,7.084
2001,Grodno,8.741
2001,Minsk,6.495
2001,Mogilev,6.925
2001,Vitebsk,6.955
2002,Brest,18.011
2002,Gomel,16.004
2002,Grodno,14.708
2002,Minsk,11.994
2002,Mogilev,12.016
2002,Vitebsk,10.492
2003,Brest,5.623
2003,Gomel,6.482
2003,Grodno,4.941
2003,Minsk,4.715
2003,Mogilev,5.498
2003,Vitebsk,5.666
2004,Brest,9.361
2004,Gomel,5.825
2004,Grodno,5.725
2004,Minsk,3.036
2004,Mogilev,3.544
2004,Vitebsk,4.701
2005,Brest,5.286
2005,Gomel,3.955
2005,Grodno,5.172
2005,Minsk,4.250
2005,Mogilev,4.059
2005,Vitebsk,5.397
2006,Brest,4.820
2006,Gomel,4.344
2006,Grodno,4.110
2006,Minsk,4.702
2006,Mogilev,4.202
2006,Vitebsk,4.418
2007,Brest,8.168
2007,Gomel,6.041
2007,Grodno,6.147
2007,Minsk,3.835
2007,Mogilev,3.325
2007,Vitebsk,3.938
2008,Brest,14.250
2008,Gomel,13.323
2008,Grodno,14.661
2008,Minsk,12.163
2008,Mogilev,11.393
2008,Vitebsk,12.161
2009,Brest,7.881
2009,Gomel,5.626
2009,Grodno,6.829
2009,Minsk,3.723
2009,Mogilev,3.469
2009,Vitebsk,3.953
2010,Brest,2.261
2010,Gomel,3.764
2010,Grodno,3.298
2010,Minsk,2.528
2010,Mogilev,3.317
2010,Vitebsk,4.754
2011,Brest,9.889
2011,Gomel,8.844
2011,Grodno,8.501
2011,Minsk,7.062
2011,Mogilev,6.790
2011,Vitebsk,6.265
2012,Brest,7.122
2012,Gomel,2.495
2012,Grodno,6.702
2012,Minsk,3.824
2012,Mogilev,2.059
2012,Vitebsk,3.692
2013,Brest,8.376
2013,Gomel,5.080
2013,Grodno,7.171
2013,Minsk,3.881
2013,Mogilev,4.127
2013,Vitebsk,4.764
2014,Brest,9.197
2014,Gomel,8.475
2014,Grodno,7.737
2014,Minsk,7.255
2014,Mogilev,6.780
2014,Vitebsk,7.040
2015,Brest,9.310
2015,Gomel,8.468
2015,Grodno,8.775
2015,Minsk,8.014
2015,Mogilev,7.915
2015,Vitebsk,7.529
2016,Brest,16.853
2016,Gomel,11.513
2016,Grodno,15.548
2016,Minsk,12.312
2016,Mogilev,10.391
2016,Vitebsk,13.713
2017,Brest,10.280
2017,Gomel,8.557
2017,Grodno,9.468
2017,Minsk,8.177
2017,Mogilev,8.584
2017,Vitebsk,7.286
2018,Brest,7.346
2018,Gomel,6.076
2018,Grodno,6.468
2018,Minsk,5.580
2018,Mogilev,5.160
2018,Vitebsk,5.735
2019,Brest,11.775
2019,Gomel,10.138
2019,Grodno,10.404
2019,Minsk,8.420
2019,Mogilev,9.003
2019,Vitebsk,9.171
2020,Brest,18.925
2020,Gomel,15.921
2020,Grodno,17.645
2020,Minsk,15.463
2020,Mogilev,12.930
2020,Vitebsk,15.217
2021,Brest,4.807
2021,Gomel,3.536
2021,Grodno,1.117
2021,Minsk,2.820
2021,Mogilev,2.766
2021,Vitebsk,5.516
2022,Brest,19.185
2022,Gomel,13.967
2022,Grodno,15.963
2022,Minsk,11.436
2022,Mogilev,8.879
2022,Vitebsk,10.308
