year,region,tp_Jul
1985,Grodno,95.926
1985,Minsk,77.874
1985,Mogilev,85.873
1985,Vitebsk,92.271
1986,Brest,73.552
1986,Gomel,103.899
1986,Grodno,71.589
1986,Minsk,72.789
1986,Mogilev,99.507
1986,Vitebsk,103.505
1987,Brest,89.105
1987,Gomel,45.910
1987,Grodno,95.688
1987,Minsk,69.336
1987,Mogilev,42.311
1987,Vitebsk,79.035
1988,Brest,106.360
1988,Gomel,69.093
1988,Grodno,99.228
1988,Minsk,88.896
1988,Mogilev,86.772
1988,Vitebsk,109.511
1989,Brest,65.785
1989,Gomel,71.377
1989,Grodno,94.701
1989,Minsk,89.754
1989,Mogilev,72.521
1989,Vitebsk,102.249
1990,Brest,148.831
1990,Gomel,163.330
1990,Grodno,160.950
1990,Minsk,170.429
1990,Mogilev,169.265
1990,Vitebsk,175.998
1991,Brest,97.571
1991,Gomel,68.338
1991,Grodno,69.726
1991,Minsk,73.482
1991,Mogilev,81.018
1991,Vitebsk,71.282
1992,Brest,59.587
1992,Gomel,33.939
1992,Grodno,38.940
1992,Minsk,29.212
1992,Mogilev,24.997
1992,Vitebsk,28.272
1993,Brest,156.743
1993,Gomel,212.177
1993,Grodno,175.011
1993,Minsk,176.360
1993,Mogilev,163.655
1993,Vitebsk,147.596
1994,Brest,13.474
1994,Gomel,19.914
1994,Grodno,9.826
1994,Minsk,15.107
1994,Mogilev,17.399
1994,Vitebsk,16.943
1995,Brest,57.395
1995,Gomel,33.928
1995,Grodno,67.274
1995,Minsk,55.103
1995,Mogilev,54.311
1995,Vitebsk,60.139
1996,Brest,87.356
1996,Gomel,102.057
1996,Grodno,104.917
1996,Minsk,92.626
1996,Mogilev,93.304
1996,Vitebsk,94.097
1997,Brest,158.226
1997,Gomel,138.384
1997,Grodno,111.873
1997,Minsk,125.507
1997,Mogilev,132.692
1997,Vitebsk,89.866
1998,Brest,136.527
1998,Gomel,155.552
1998,Grodno,143.936
1998,Minsk,162.752
1998,Mogilev,176.119
1998,Vitebsk,142.883
1999,Brest,59.221
1999,Gomel,87.764
1999,Grodno,41.288
1999,Minsk,52.091
1999,Mogilev,84.608
1999,Vitebsk,49.266
2000,Brest,162.423
2000,Gomel,156.677
2000,Grodno,146.895
2000,Minsk,133.192
2000,Mogilev,164.093
2000,Vitebsk,168.417
2001,Brest,89.042
