year,region,tp_Aug
1985,Minsk,46.429
1985,Mogilev,87.863
1985,Vitebsk,71.671
1986,Brest,125.391
1986,Gomel,143.393
1986,Grodno,136.253
1986,Minsk,129.218
1986,Mogilev,149.464
1986,Vitebsk,122.731
1987,Brest,70.272
1987,Gomel,120.837
1987,Grodno,81.193
1987,Minsk,72.147
1987,Mogilev,136.761
1987,Vitebsk,116.115
1988,Brest,113.959
1988,Gomel,75.390
1988,Grodno,143.333
1988,Minsk,84.254
1988,Mogilev,80.218
1988,Vitebsk,102.416
1989,Brest,115.094
1989,Gomel,97.642
1989,Grodno,105.553
1989,Minsk,131.338
1989,Mogilev,77.034
1989,Vitebsk,137.672
1990,Brest,89.080
1990,Gomel,68.841
1990,Grodno,98.605
1990,Minsk,97.784
1990,Mogilev,76.804
1990,Vitebsk,112.362
1991,Brest,58.558
1991,Gomel,41.111
1991,Grodno,47.637
1991,Minsk,44.862
1991,Mogilev,56.032
1991,Vitebsk,54.254
1992,Brest,28.788
1992,Gomel,41.684
1992,Grodno,37.856
1992,Minsk,46.711
1992,Mogilev,56.274
1992,Vitebsk,53.899
1993,Brest,46.352
1993,Gomel,42.655
1993,Grodno,88.837
1993,Minsk,55.155
1993,Mogilev,49.749
1993,Vitebsk,82.669
1994,Brest,80.228
1994,Gomel,74.065
1994,Grodno,97.543
1994,Minsk,85.698
1994,Mogilev,74.250
1994,Vitebsk,96.193
1995,Brest,78.593
1995,Gomel,81.481
1995,Grodno,73.700
1995,Minsk,89.435
1995,Mogilev,73.290
1995,Vitebsk,61.748
1996,Brest,56.990
1996,Gomel,51.171
1996,Grodno,35.777
1996,Minsk,23.114
1996,Mogilev,23.556
1996,Vitebsk,13.400
1997,Brest,46.312
1997,Gomel,47.041
1997,Grodno,38.672
1997,Minsk,31.858
1997,Mogilev,37.509
1997,Vitebsk,29.271
1998,Brest,82.461
1998,Gomel,93.819
1998,Grodno,88.150
1998,Minsk,107.195
1998,Mogilev,113.661
1998,Vitebsk,131.931
1999,Brest,51.242
1999,Gomel,78.680
1999,Grodno,59.782
1999,Minsk,53.001
1999,Mogilev,75.545
1999,Vitebsk,84.169
2000,Brest,42.025
2000,Gomel,42.127
2000,Grodno,66.392
2000,Minsk,67.912
2000,Mogilev,61.704
2000,Vitebsk,113.570
2001,Brest,58.266
2001,Gomel,69.970
2001,Grodno,63.651
2001,Minsk,61.010
2001,Mogilev,75.047
2001,Vitebsk,84.291
2002,Brest,33.944
2002,Gomel,48.842
2002,Grodno,27.762
2002,Minsk,33.664
2002,Mogilev,31.876
2002,Vitebsk,20.320
2003,Brest,53.324
2003,Gomel,102.020
2003,Grodno,83.801
2003,Minsk,72.677
2003,Mogilev,118.371
2003,Vitebsk,117.073
2004,Brest,123.786
2004,Gomel,92.890
2004,Grodno,103.902
2004,Minsk,114.273
2004,Mogilev,87.318
2004,Vitebsk,62.167
2005,Brest,82.818
2005,Gomel,73.454
2005,Grodno,139.896
2005,Minsk,129.649
2005,Mogilev,73.480
2005,Vitebsk,112.347
2006,Brest,204.890
2006,Gomel,151.434
2006,Grodno,211.264
2006,Minsk,177.129
2006,Mogilev,191.323
2006,Vitebsk,203.543
2007,Brest,56.871
2007,Gomel,33.207
2007,Grodno,46.837
2007,Minsk,37.889
2007,Mogilev,36.281
2007,Vitebsk,43.544
2008,Brest,68.512
2008,Gomel,63.661
2008,Grodno,69.806
2008,Minsk,72.056
2008,Mogilev,86.110
2008,Vitebsk,88.706
2009,Brest,47.354
2009,Gomel,45.364
2009,Grodno,48.183
2009,Minsk,52.844
2009,Mogilev,71.513
2009,Vitebsk,46.717
2010,Brest,105.989
2010,Gomel,73.070
2010,Grodno,103.145
2010,Minsk,89.148
2010,Mogilev,84.672
2010,Vitebsk,96.618
2011,Brest,55.714
2011,Gomel,57.131
2011,Grodno,72.503
2011,Minsk,77.289
2011,Mogilev,72.672
2011,Vitebsk,91.602
2012,Brest,110.036
2012,Gomel,120.162
2012,Grodno,89.599
2012,Minsk,101.823
2012,Mogilev,107.482
2012,Vitebsk,72.806
2013,Brest,32.257
2013,Gomel,35.349
2013,Grodno,52.437
2013,Minsk,46.689
2013,Mogilev,36.216
2013,Vitebsk,57.378
2014,Brest,94.662
2014,Gomel,74.533
2014,Grodno,101.612
2014,Minsk,120.419
2014,Mogilev,90.788
2014,Vitebsk,113.216
2015,Brest,5.455
2015,Gomel,5.286
2015,Grodno,10.621
2015,Minsk,7.578
2015,Mogilev,10.088
2015,Vitebsk,13.184
2016,Brest,43.617
2016,Gomel,42.720
2016,Grodno,82.906
2016,Minsk,58.183
2016,Mogilev,59.953
2016,Vitebsk,76.625
2017,Brest,41.759
2017,Gomel,54.135
2017,Grodno,88.284
2017,Minsk,95.270
2017,Mogilev,74.388
2017,Vitebsk,113.618
2018,Brest,52.457
2018,Gomel,44.098
2018,Grodno,66.236
2018,Minsk,40.898
2018,Mogilev,41.416
2018,Vitebsk,55.137
2019,Brest,74.972
2019,Gomel,51.509
2019,Grodno,82.350
2019,Minsk,97.252
2019,Mogilev,80.677
2019,Vitebsk,91.855
2020,Brest,76.286
2020,Gomel,58.691
2020,Grodno,84.408
2020,Minsk,73.010
2020,Mogilev,70.949
2020,Vitebsk,78.583
2021,Brest,144.929
2021,Gomel,120.354
2021,Grodno,158.933
2021,Minsk,109.981
2021,Mogilev,128.115
2021,Vitebsk,118.638
2022,Brest,28.027
2022,Gomel,30.600
2022,Grodno,22.379
2022,Minsk,25.165
2022,Mogilev,26.901
2022,Vitebsk,29.561
