experiment,model,year,region,tas
SSP1-2.6,access_cm2,2070,Mogilev,-2.238924336312542
SSP1-2.6,access_cm2,2070,Vitebsk,-2.6507930889902167
SSP1-2.6,access_cm2,2071,Brest,0.8444509513861725
SSP1-2.6,access_cm2,2071,Gomel,-0.2754418999068668
SSP1-2.6,access_cm2,2071,Grodno,0.24626907695487124
SSP1-2.6,access_cm2,2071,Minsk,-0.6547568007434987
SSP1-2.6,access_cm2,2071,Mogilev,-1.320239425145868
SSP1-2.6,access_cm2,2071,Vitebsk,-1.6111776951244603
SSP1-2.6,access_cm2,2072,Brest,2.757079278352951
SSP1-2.6,access_cm2,2072,Gomel,2.0931895374335414
SSP1-2.6,access_cm2,2072,Grodno,2.2637748041960726
SSP1-2.6,access_cm2,2072,Minsk,1.6877419706768406
SSP1-2.6,access_cm2,2072,Mogilev,1.1694690194119925
SSP1-2.6,access_cm2,2072,Vitebsk,0.7438943750738718
SSP1-2.6,access_cm2,2073,Brest,-1.413170506719728
SSP1-2.6,access_cm2,2073,Gomel,-2.8160055732213913
SSP1-2.6,access_cm2,2073,Grodno,-1.7488515306643033
SSP1-2.6,access_cm2,2073,Minsk,-2.74998631279683
SSP1-2.6,access_cm2,2073,Mogilev,-3.716016721085265
SSP1-2.6,access_cm2,2073,Vitebsk,-3.822711244735422
SSP1-2.6,access_cm2,2074,Brest,-0.977313856275693
SSP1-2.6,access_cm2,2074,Gomel,-2.183225966283786
SSP1-2.6,access_cm2,2074,Grodno,-1.612466017911037
SSP1-2.6,access_cm2,2074,Minsk,-2.503381987672619
SSP1-2.6,access_cm2,2074,Mogilev,-3.128212680251708
SSP1-2.6,access_cm2,2074,Vitebsk,-3.44639108695825
SSP1-2.6,access_cm2,2075,Brest,-0.4582925896862867
SSP1-2.6,access_cm2,2075,Gomel,-1.3849464856031326
SSP1-2.6,access_cm2,2075,Grodno,-1.145727340094142
SSP1-2.6,access_cm2,2075,Minsk,-1.9602046532166204
